epoch: 00 train cost:  83.23s, train_loss:  1.1466, train_acc:  0.4810, valid_loss:  1.0459, valid_acc:  0.6357
epoch: 01 train cost:  83.94s, train_loss:  1.0477, train_acc:  0.5286, valid_loss:  0.9898, valid_acc:  0.5714
epoch: 02 train cost:  82.67s, train_loss:  0.9943, train_acc:  0.6040, valid_loss:  0.9870, valid_acc:  0.6143
epoch: 03 train cost:  83.14s, train_loss:  0.9303, train_acc:  0.6532, valid_loss:  0.8414, valid_acc:  0.7071
epoch: 04 train cost:  81.37s, train_loss:  0.8422, train_acc:  0.7135, valid_loss:  0.9042, valid_acc:  0.6357
epoch: 05 train cost:  84.35s, train_loss:  0.7830, train_acc:  0.7468, valid_loss:  0.9172, valid_acc:  0.6857
epoch: 06 train cost:  85.17s, train_loss:  0.7185, train_acc:  0.7810, valid_loss:  0.8754, valid_acc:  0.6857
epoch: 07 train cost:  79.21s, train_loss:  0.6726, train_acc:  0.7944, valid_loss:  0.8947, valid_acc:  0.6857
epoch: 08 train cost:  79.31s, train_loss:  0.6567, train_acc:  0.8032, valid_loss:  0.9721, valid_acc:  0.6643
epoch: 09 train cost:  79.46s, train_loss:  0.5963, train_acc:  0.8198, valid_loss:  1.0154, valid_acc:  0.6357
epoch: 10 train cost:  80.12s, train_loss:  0.5611, train_acc:  0.8317, valid_loss:  0.9753, valid_acc:  0.6714
epoch: 11 train cost:  79.16s, train_loss:  0.5060, train_acc:  0.8413, valid_loss:  1.0539, valid_acc:  0.6571
epoch: 12 train cost:  79.33s, train_loss:  0.5099, train_acc:  0.8341, valid_loss:  1.0229, valid_acc:  0.6571
epoch: 13 train cost:  79.50s, train_loss:  0.4349, train_acc:  0.8540, valid_loss:  1.1785, valid_acc:  0.6357
epoch: 14 train cost:  78.27s, train_loss:  0.3749, train_acc:  0.8714, valid_loss:  1.0910, valid_acc:  0.6429
epoch: 15 train cost:  80.87s, train_loss:  0.3165, train_acc:  0.8889, valid_loss:  1.1535, valid_acc:  0.6643
epoch: 16 train cost:  79.79s, train_loss:  0.2747, train_acc:  0.9032, valid_loss:  1.2447, valid_acc:  0.6071
epoch: 17 train cost:  79.70s, train_loss:  0.2587, train_acc:  0.9111, valid_loss:  1.3023, valid_acc:  0.6357
epoch: 18 train cost:  78.21s, train_loss:  0.2364, train_acc:  0.9222, valid_loss:  1.3716, valid_acc:  0.6214
epoch: 19 train cost:  78.65s, train_loss:  0.2182, train_acc:  0.9294, valid_loss:  1.3255, valid_acc:  0.6357
epoch: 20 train cost:  79.73s, train_loss:  0.3055, train_acc:  0.8794, valid_loss:  1.2741, valid_acc:  0.6357
epoch: 21 train cost:  79.61s, train_loss:  0.2661, train_acc:  0.9000, valid_loss:  1.4209, valid_acc:  0.6000
