epoch: 00 train cost:  82.89s, train_loss:  0.9573, train_acc:  0.6873, valid_loss:  0.6138, valid_acc:  0.8214
epoch: 01 train cost:  81.14s, train_loss:  0.5854, train_acc:  0.8421, valid_loss:  0.4895, valid_acc:  0.8571
epoch: 02 train cost:  81.38s, train_loss:  0.4357, train_acc:  0.8849, valid_loss:  0.4617, valid_acc:  0.8786
epoch: 03 train cost:  81.78s, train_loss:  0.3353, train_acc:  0.9071, valid_loss:  0.4630, valid_acc:  0.8571
epoch: 04 train cost:  83.30s, train_loss:  0.2503, train_acc:  0.9286, valid_loss:  0.5761, valid_acc:  0.8357
epoch: 05 train cost:  84.85s, train_loss:  0.2002, train_acc:  0.9468, valid_loss:  0.5446, valid_acc:  0.8571
epoch: 06 train cost:  84.71s, train_loss:  0.1353, train_acc:  0.9651, valid_loss:  0.5085, valid_acc:  0.8714
epoch: 07 train cost:  85.34s, train_loss:  0.0913, train_acc:  0.9754, valid_loss:  0.5794, valid_acc:  0.8571
epoch: 08 train cost:  85.02s, train_loss:  0.0698, train_acc:  0.9841, valid_loss:  0.6244, valid_acc:  0.8429
epoch: 09 train cost:  84.31s, train_loss:  0.0461, train_acc:  0.9929, valid_loss:  0.5919, valid_acc:  0.8786
epoch: 10 train cost:  81.69s, train_loss:  0.0412, train_acc:  0.9905, valid_loss:  0.9059, valid_acc:  0.8143
epoch: 11 train cost:  81.32s, train_loss:  0.0651, train_acc:  0.9810, valid_loss:  0.5985, valid_acc:  0.8571
epoch: 12 train cost:  81.23s, train_loss:  0.0453, train_acc:  0.9897, valid_loss:  0.7337, valid_acc:  0.8500
epoch: 13 train cost:  81.50s, train_loss:  0.0217, train_acc:  0.9960, valid_loss:  0.6707, valid_acc:  0.8571
epoch: 14 train cost:  81.29s, train_loss:  0.0192, train_acc:  0.9968, valid_loss:  0.7671, valid_acc:  0.8357
epoch: 15 train cost:  81.38s, train_loss:  0.0212, train_acc:  0.9944, valid_loss:  0.8333, valid_acc:  0.8429
epoch: 16 train cost:  84.68s, train_loss:  0.0873, train_acc:  0.9738, valid_loss:  0.7813, valid_acc:  0.8357
epoch: 17 train cost:  85.46s, train_loss:  0.0328, train_acc:  0.9921, valid_loss:  0.7857, valid_acc:  0.8357
epoch: 18 train cost:  85.34s, train_loss:  0.0221, train_acc:  0.9944, valid_loss:  0.9691, valid_acc:  0.8429
epoch: 19 train cost:  85.52s, train_loss:  0.0224, train_acc:  0.9944, valid_loss:  0.8646, valid_acc:  0.8500
epoch: 20 train cost:  90.97s, train_loss:  0.0127, train_acc:  0.9976, valid_loss:  0.8131, valid_acc:  0.8429
epoch: 21 train cost:  85.10s, train_loss:  0.0166, train_acc:  0.9944, valid_loss:  1.0159, valid_acc:  0.8571
epoch: 22 train cost:  81.06s, train_loss:  0.0271, train_acc:  0.9929, valid_loss:  0.7952, valid_acc:  0.8571
epoch: 23 train cost:  81.11s, train_loss:  0.0151, train_acc:  0.9960, valid_loss:  0.8050, valid_acc:  0.8714
