epoch: 65 train cost:  44.60s, train_loss:  0.0057, train_acc:  0.9984, valid_loss:  1.7471, valid_acc:  0.7000
epoch: 66 train cost:  44.62s, train_loss:  0.0018, train_acc:  1.0000, valid_loss:  1.7595, valid_acc:  0.7286
epoch: 67 train cost:  44.62s, train_loss:  0.0240, train_acc:  0.9921, valid_loss:  2.3118, valid_acc:  0.5500
epoch: 68 train cost:  44.65s, train_loss:  0.0155, train_acc:  0.9937, valid_loss:  1.8154, valid_acc:  0.6643
epoch: 69 train cost:  44.67s, train_loss:  0.0169, train_acc:  0.9937, valid_loss:  1.7096, valid_acc:  0.7357
epoch: 70 train cost:  44.69s, train_loss:  0.0338, train_acc:  0.9849, valid_loss:  1.8497, valid_acc:  0.6786
epoch: 71 train cost:  44.68s, train_loss:  0.0042, train_acc:  0.9992, valid_loss:  1.7439, valid_acc:  0.7000
epoch: 72 train cost:  44.63s, train_loss:  0.0033, train_acc:  1.0000, valid_loss:  1.8200, valid_acc:  0.7143
epoch: 73 train cost:  44.64s, train_loss:  0.0015, train_acc:  1.0000, valid_loss:  1.8977, valid_acc:  0.7071
epoch: 74 train cost:  44.63s, train_loss:  0.0118, train_acc:  0.9968, valid_loss:  1.7264, valid_acc:  0.7071
epoch: 75 train cost:  44.62s, train_loss:  0.0015, train_acc:  1.0000, valid_loss:  1.7621, valid_acc:  0.7000
epoch: 76 train cost:  44.70s, train_loss:  0.0093, train_acc:  0.9976, valid_loss:  1.7981, valid_acc:  0.7071
epoch: 77 train cost:  44.88s, train_loss:  0.0059, train_acc:  0.9984, valid_loss:  1.7323, valid_acc:  0.7286
epoch: 78 train cost:  48.72s, train_loss:  0.0027, train_acc:  0.9992, valid_loss:  1.8651, valid_acc:  0.7000
epoch: 79 train cost:  49.36s, train_loss:  0.0012, train_acc:  1.0000, valid_loss:  1.8874, valid_acc:  0.7071
epoch: 80 train cost:  49.25s, train_loss:  0.0017, train_acc:  0.9992, valid_loss:  2.2665, valid_acc:  0.6286
epoch: 81 train cost:  49.26s, train_loss:  0.0153, train_acc:  0.9952, valid_loss:  1.9063, valid_acc:  0.6786
epoch: 82 train cost:  49.63s, train_loss:  0.0623, train_acc:  0.9762, valid_loss:  1.8790, valid_acc:  0.6643
epoch: 83 train cost:  49.76s, train_loss:  0.0068, train_acc:  0.9984, valid_loss:  1.9544, valid_acc:  0.6786
epoch: 84 train cost:  49.39s, train_loss:  0.0021, train_acc:  1.0000, valid_loss:  2.0174, valid_acc:  0.6429
epoch: 85 train cost:  49.16s, train_loss:  0.0026, train_acc:  1.0000, valid_loss:  2.0315, valid_acc:  0.6429
epoch: 86 train cost:  49.37s, train_loss:  0.0009, train_acc:  1.0000, valid_loss:  2.0347, valid_acc:  0.6571
epoch: 87 train cost:  49.49s, train_loss:  0.0008, train_acc:  1.0000, valid_loss:  2.0612, valid_acc:  0.6571
epoch: 88 train cost:  49.34s, train_loss:  0.0055, train_acc:  0.9984, valid_loss:  2.0191, valid_acc:  0.6643
epoch: 89 train cost:  49.33s, train_loss:  0.0115, train_acc:  0.9984, valid_loss:  2.0948, valid_acc:  0.6500
epoch: 90 train cost:  49.26s, train_loss:  0.0027, train_acc:  0.9984, valid_loss:  2.0158, valid_acc:  0.6857
epoch: 91 train cost:  49.30s, train_loss:  0.0023, train_acc:  1.0000, valid_loss:  2.2504, valid_acc:  0.6429
epoch: 92 train cost:  49.32s, train_loss:  0.0246, train_acc:  0.9921, valid_loss:  2.1939, valid_acc:  0.6643
epoch: 93 train cost:  49.42s, train_loss:  0.0811, train_acc:  0.9762, valid_loss:  1.6672, valid_acc:  0.7143
epoch: 94 train cost:  49.30s, train_loss:  0.0133, train_acc:  0.9960, valid_loss:  1.7210, valid_acc:  0.6929
epoch: 95 train cost:  49.31s, train_loss:  0.0127, train_acc:  0.9960, valid_loss:  1.7654, valid_acc:  0.6643
epoch: 96 train cost:  49.30s, train_loss:  0.0137, train_acc:  0.9960, valid_loss:  1.9401, valid_acc:  0.6786
epoch: 97 train cost:  49.29s, train_loss:  0.0038, train_acc:  0.9992, valid_loss:  1.8225, valid_acc:  0.6929
epoch: 98 train cost:  49.32s, train_loss:  0.0100, train_acc:  0.9960, valid_loss:  1.9789, valid_acc:  0.6786
